Symptom,Disease,Country,Count
durations,mortality,india,1
investigate,mortality,india,2
applicability,mortality,india,1
mortality,prevalence,india,1
mortality,nondiagnosis,india,1
local,mortality,india,1
mortality,patient,india,1
mortality,temperatures,india,1
hospitalization,mortality,india,1
infection,mortality,india,1
adaptation,mortality,india,1
mortality,ranges,india,1
mortality,multiple,india,1
mortality,temperature,india,1
empirical,mortality,india,1
definitions,mortality,india,1
criteria,mortality,india,1
etiology,mortality,india,1
mortality,test,india,1
healthcare,mortality,india,1
mortality,week,india,1
admission,mortality,india,1
mortality,treatment,india,1
mortality,retrospectively,india,1
mortality,undiagnosed,india,1
fuo,mortality,india,1
mortality,weeks,india,1
adult,mortality,india,1
mortality,occasions,india,1
longer,mortality,india,1
evaluated,mortality,india,1
mortality,variation,india,1
evaluation,mortality,india,1
mortality,outcomes,india,2
inpatient,mortality,india,1
enhancing,mortality,india,1
contexts,mortality,india,1
fever,mortality,india,4
durations,investigate,india,1
applicability,durations,india,1
durations,prevalence,india,1
durations,nondiagnosis,india,1
durations,local,india,1
durations,patient,india,1
durations,temperatures,india,1
durations,hospitalization,india,1
durations,infection,india,1
adaptation,durations,india,1
durations,ranges,india,1
durations,multiple,india,1
durations,temperature,india,1
durations,empirical,india,1
definitions,durations,india,1
criteria,durations,india,1
durations,etiology,india,1
durations,test,india,1
durations,healthcare,india,1
durations,week,india,1
admission,durations,india,1
durations,treatment,india,1
durations,retrospectively,india,1
durations,undiagnosed,india,1
durations,fuo,india,1
durations,weeks,india,1
adult,durations,india,1
durations,occasions,india,1
durations,longer,india,1
durations,evaluated,india,1
durations,variation,india,1
durations,evaluation,india,1
durations,outcomes,india,1
durations,inpatient,india,1
durations,enhancing,india,1
contexts,durations,india,1
durations,fever,india,1
applicability,investigate,india,1
investigate,prevalence,india,2
investigate,nondiagnosis,india,1
investigate,local,india,1
investigate,patient,india,2
investigate,temperatures,india,1
hospitalization,investigate,india,1
infection,investigate,india,2
adaptation,investigate,india,1
investigate,ranges,india,1
investigate,multiple,india,1
investigate,temperature,india,1
empirical,investigate,india,1
definitions,investigate,india,1
criteria,investigate,india,1
etiology,investigate,india,1
investigate,test,india,1
healthcare,investigate,india,1
investigate,week,india,1
admission,investigate,india,1
investigate,treatment,india,1
investigate,retrospectively,india,1
investigate,undiagnosed,india,1
fuo,investigate,india,1
investigate,weeks,india,1
adult,investigate,india,1
investigate,occasions,india,1
investigate,longer,india,1
evaluated,investigate,india,2
investigate,variation,india,1
evaluation,investigate,india,1
investigate,outcomes,india,1
inpatient,investigate,india,1
enhancing,investigate,india,1
contexts,investigate,india,1
fever,investigate,india,5
applicability,prevalence,india,1
applicability,nondiagnosis,india,1
applicability,local,india,1
applicability,patient,india,1
applicability,temperatures,india,1
applicability,hospitalization,india,1
applicability,infection,india,1
adaptation,applicability,india,1
applicability,ranges,india,1
applicability,multiple,india,1
applicability,temperature,india,1
applicability,empirical,india,1
applicability,definitions,india,1
applicability,criteria,india,1
applicability,etiology,india,1
applicability,test,india,1
applicability,healthcare,india,1
applicability,week,india,1
admission,applicability,india,1
applicability,treatment,india,1
applicability,retrospectively,india,1
applicability,undiagnosed,india,1
applicability,fuo,india,1
applicability,weeks,india,1
adult,applicability,india,1
applicability,occasions,india,1
applicability,longer,india,1
applicability,evaluated,india,1
applicability,variation,india,1
applicability,evaluation,india,1
applicability,outcomes,india,1
applicability,inpatient,india,1
applicability,enhancing,india,1
applicability,contexts,india,1
applicability,fever,india,1
nondiagnosis,prevalence,india,1
local,prevalence,india,1
patient,prevalence,india,1
prevalence,temperatures,india,1
hospitalization,prevalence,india,1
infection,prevalence,india,2
adaptation,prevalence,india,1
prevalence,ranges,india,1
multiple,prevalence,india,1
prevalence,temperature,india,1
empirical,prevalence,india,1
definitions,prevalence,india,1
criteria,prevalence,india,1
etiology,prevalence,india,1
prevalence,test,india,1
healthcare,prevalence,india,1
prevalence,week,india,1
admission,prevalence,india,1
prevalence,treatment,india,2
prevalence,retrospectively,india,1
prevalence,undiagnosed,india,1
fuo,prevalence,india,1
prevalence,weeks,india,1
adult,prevalence,india,1
occasions,prevalence,india,1
longer,prevalence,india,1
evaluated,prevalence,india,1
prevalence,variation,india,1
evaluation,prevalence,india,1
outcomes,prevalence,india,1
inpatient,prevalence,india,1
enhancing,prevalence,india,1
contexts,prevalence,india,1
fever,prevalence,india,3
local,nondiagnosis,india,1
nondiagnosis,patient,india,1
nondiagnosis,temperatures,india,1
hospitalization,nondiagnosis,india,1
infection,nondiagnosis,india,1
adaptation,nondiagnosis,india,1
nondiagnosis,ranges,india,1
multiple,nondiagnosis,india,1
nondiagnosis,temperature,india,1
empirical,nondiagnosis,india,1
definitions,nondiagnosis,india,1
criteria,nondiagnosis,india,1
etiology,nondiagnosis,india,1
nondiagnosis,test,india,1
healthcare,nondiagnosis,india,1
nondiagnosis,week,india,1
admission,nondiagnosis,india,1
nondiagnosis,treatment,india,1
nondiagnosis,retrospectively,india,1
nondiagnosis,undiagnosed,india,1
fuo,nondiagnosis,india,1
nondiagnosis,weeks,india,1
adult,nondiagnosis,india,1
nondiagnosis,occasions,india,1
longer,nondiagnosis,india,1
evaluated,nondiagnosis,india,1
nondiagnosis,variation,india,1
evaluation,nondiagnosis,india,1
nondiagnosis,outcomes,india,1
inpatient,nondiagnosis,india,1
enhancing,nondiagnosis,india,1
contexts,nondiagnosis,india,1
fever,nondiagnosis,india,1
local,patient,india,1
local,temperatures,india,1
hospitalization,local,india,1
infection,local,india,1
adaptation,local,india,1
local,ranges,india,1
local,multiple,india,1
local,temperature,india,1
empirical,local,india,1
definitions,local,india,1
criteria,local,india,1
etiology,local,india,1
local,test,india,1
healthcare,local,india,1
local,week,india,1
admission,local,india,1
local,treatment,india,1
local,retrospectively,india,1
local,undiagnosed,india,1
fuo,local,india,1
local,weeks,india,1
adult,local,india,1
local,occasions,india,1
local,longer,india,1
evaluated,local,india,1
local,variation,india,1
evaluation,local,india,1
local,outcomes,india,1
inpatient,local,india,1
enhancing,local,india,1
contexts,local,india,1
fever,local,india,1
patient,temperatures,india,1
hospitalization,patient,india,1
infection,patient,india,1
adaptation,patient,india,1
patient,ranges,india,1
multiple,patient,india,1
patient,temperature,india,2
empirical,patient,india,2
definitions,patient,india,1
criteria,patient,india,1
etiology,patient,india,1
patient,test,india,1
healthcare,patient,india,1
patient,week,india,1
admission,patient,india,1
patient,treatment,india,2
patient,retrospectively,india,1
patient,undiagnosed,india,1
fuo,patient,india,1
patient,weeks,india,2
adult,patient,india,1
occasions,patient,india,1
longer,patient,india,1
evaluated,patient,india,1
patient,variation,india,1
evaluation,patient,india,1
outcomes,patient,india,1
inpatient,patient,india,1
enhancing,patient,india,1
contexts,patient,india,1
fever,patient,india,4
hospitalization,temperatures,india,1
infection,temperatures,india,1
adaptation,temperatures,india,1
ranges,temperatures,india,1
multiple,temperatures,india,1
temperature,temperatures,india,1
